Subject	Predicate	Object	Belief	Source size	Sources	Total source size	Mean belief of conflicting tuples	Belief difference	Conflicting tuple info
flhD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('flhD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
fliJ	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('fliJ', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
fliN	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('fliN', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
fljA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('fljA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ftsN	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ftsN', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ftsQ	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ftsQ', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
fucI	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('fucI', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
fxsA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('fxsA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
gabD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('gabD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
galE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('galE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
garD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('garD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
glnD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('glnD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
gltA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('gltA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
gltS	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('gltS', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
gntU	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('gntU', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
gshB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('gshB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
guaC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('guaC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
gudD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('gudD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
hemF	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('hemF', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
hemH	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('hemH', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
hrpA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('hrpA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
hscC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('hscC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
hycD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('hycD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
idnK	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('idnK', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ilvB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ilvB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
iroD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('iroD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
iroE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('iroE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
iroN	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('iroN', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
katG	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('katG', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
kdsA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('kdsA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
kefC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('kefC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ligA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ligA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ligT	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ligT', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
livM	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('livM', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
lon	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('lon', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
lpfC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('lpfC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
lpxA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('lpxA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
malE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('malE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
malF	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('malF', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
malT	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('malT', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
map	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('map', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
marA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('marA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
marC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('marC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
mazG	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('mazG', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
mdlB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('mdlB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
mdoB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('mdoB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
metH	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('metH', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
metK	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('metK', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
mfd	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('mfd', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
mig-14	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('mig-14', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
mig-3	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('mig-3', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
mod	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('mod', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
msbA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('msbA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
msbB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('msbB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
mtr	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('mtr', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
mutH	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('mutH', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
mutL	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('mutL', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
mutS	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('mutS', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
narK	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('narK', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
narQ	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('narQ', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
nei	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('nei', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
nepI	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('nepI', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
nhoA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('nhoA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
nrdE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('nrdE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
nrfE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('nrfE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
nuoE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('nuoE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
nuoG	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('nuoG', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
oppC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('oppC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
otsB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('otsB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
panF	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('panF', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
parE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('parE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
pepA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('pepA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
pfkB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('pfkB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
pflF	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('pflF', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
phrB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('phrB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
pntA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('pntA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ppk	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ppk', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
priA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('priA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
pspA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('pspA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
pstS	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('pstS', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ptsP	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ptsP', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ratA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ratA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
rbsB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('rbsB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
rbsR	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('rbsR', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
rdgC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('rdgC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
recN	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('recN', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
rffG	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('rffG', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
rimM	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('rimM', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
rna	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('rna', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
rne	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('rne', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
rplO	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('rplO', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
rplP	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('rplP', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
rpoD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('rpoD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
rseC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('rseC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
rspA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('rspA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
rtcA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('rtcA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
