Subject	Predicate	Object
rmtB	confers resistance to antibiotic 	Aminoglycosides
rpsL	confers resistance to antibiotic 	Aminoglycosides
rpsL	confers resistance to antibiotic 	Aminoglycosides
rpsL	confers resistance to antibiotic 	Aminoglycosides
rpsL	confers resistance to antibiotic 	Aminoglycosides
rpsL 	confers resistance to antibiotic 	Aminoglycosides
strB	confers resistance to antibiotic 	Aminoglycosides
strB	confers resistance to antibiotic 	Aminoglycosides
strB	confers resistance to antibiotic 	Aminoglycosides
strB	confers resistance to antibiotic 	Aminoglycosides
strB	confers resistance to antibiotic 	Aminoglycosides
 aad1A-pm	confers resistance to antibiotic 	Aminoglycosides
 aadA2	confers resistance to antibiotic 	Aminoglycosides
aac(2')-IIa	confers resistance to antibiotic 	Aminoglycosides
aac(3)	confers resistance to antibiotic 	Aminoglycosides
AAC(3)-Ia	confers resistance to antibiotic 	Aminoglycosides
AAC(3)-Id	confers resistance to antibiotic 	Aminoglycosides
aac(3)-II	confers resistance to antibiotic 	Aminoglycosides
AAC(3)-IIa	confers resistance to antibiotic 	Aminoglycosides
AAC(3)-IIa	confers resistance to antibiotic 	Aminoglycosides
AAC(3)-IIa	confers resistance to antibiotic 	Aminoglycosides
AAC(3)-IIb	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IId	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IV	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IVa	confers resistance to antibiotic 	Aminoglycosides
AAC(3)-VIa	confers resistance to antibiotic 	Aminoglycosides
aac(3)-VIa	confers resistance to antibiotic 	Aminoglycosides
AAC(6')-I30	confers resistance to antibiotic 	Aminoglycosides
AAC(6')-Iaa	confers resistance to antibiotic 	Aminoglycosides
AAC(6')-Iae	confers resistance to antibiotic 	Aminoglycosides
AAC(6')-Ib	confers resistance to antibiotic 	Aminoglycosides
AAC(6')-Ib11	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Ib4	confers resistance to antibiotic 	Aminoglycosides
AAC(6')-Ic	confers resistance to antibiotic 	Aminoglycosides
AAC(6')-IIa	confers resistance to antibiotic 	Aminoglycosides
aac(6')-IIc	confers resistance to antibiotic 	Aminoglycosides
AAC(6')-Iy	confers resistance to antibiotic 	Aminoglycosides
aac3-Iid	confers resistance to antibiotic 	Aminoglycosides
aac3-VIa	confers resistance to antibiotic 	Aminoglycosides
aac6-Iaa	confers resistance to antibiotic 	Aminoglycosides
aac6-Iy	confers resistance to antibiotic 	Aminoglycosides
aacA4	confers resistance to antibiotic 	Aminoglycosides
aadA	confers resistance to antibiotic 	Aminoglycosides
aadA1	confers resistance to antibiotic 	Aminoglycosides
aadA1  	confers resistance to antibiotic 	Aminoglycosides
aadA10	confers resistance to antibiotic 	Aminoglycosides
aadA12	confers resistance to antibiotic 	Aminoglycosides
aadA12	confers resistance to antibiotic 	Aminoglycosides
aadA21	confers resistance to antibiotic 	Aminoglycosides
aadA22	confers resistance to antibiotic 	Aminoglycosides
aadA22	confers resistance to antibiotic 	Aminoglycosides
aadA23	confers resistance to antibiotic 	Aminoglycosides
aadA23	confers resistance to antibiotic 	Aminoglycosides
aadA24	confers resistance to antibiotic 	Aminoglycosides
aadA24	confers resistance to antibiotic 	Aminoglycosides
aadA25	confers resistance to antibiotic 	Aminoglycosides
aadA2b	confers resistance to antibiotic 	Aminoglycosides
aadA3	confers resistance to antibiotic 	Aminoglycosides
aadA5	confers resistance to antibiotic 	Aminoglycosides
aadA6	confers resistance to antibiotic 	Aminoglycosides
aadA7	confers resistance to antibiotic 	Aminoglycosides
aadA7	confers resistance to antibiotic 	Aminoglycosides
aadA7	confers resistance to antibiotic 	Aminoglycosides
aadA7	confers resistance to antibiotic 	Aminoglycosides
aadA8	confers resistance to antibiotic 	Aminoglycosides
aadA8b	confers resistance to antibiotic 	Aminoglycosides
aadA9	confers resistance to antibiotic 	Aminoglycosides
aadAB	confers resistance to antibiotic 	Aminoglycosides
aadB	confers resistance to antibiotic 	Aminoglycosides
aadB	confers resistance to antibiotic 	Aminoglycosides
aadb	confers resistance to antibiotic 	Aminoglycosides
aadB	confers resistance to antibiotic 	Aminoglycosides
aadB	confers resistance to antibiotic 	Aminoglycosides
aadE	confers resistance to antibiotic 	Aminoglycosides
ANT(2")-Ia	confers resistance to antibiotic 	Aminoglycosides
ant(2")-Ia	confers resistance to antibiotic 	Aminoglycosides
ant(2")-Ia	confers resistance to antibiotic 	Aminoglycosides
ant(3'')-Ia	confers resistance to antibiotic 	Aminoglycosides
aph(3'')	confers resistance to antibiotic 	Aminoglycosides
aph(3'')-Ib	confers resistance to antibiotic 	Aminoglycosides
APH(3')-Ia	confers resistance to antibiotic 	Aminoglycosides
aph(3')-Ia	confers resistance to antibiotic 	Aminoglycosides
aph(3')-Ia	confers resistance to antibiotic 	Aminoglycosides
aph(3')-II	confers resistance to antibiotic 	Aminoglycosides
aph(3')-IIa	confers resistance to antibiotic 	Aminoglycosides
aph(3")-Ia	confers resistance to antibiotic 	Aminoglycosides
aph(3)-IIa 	confers resistance to antibiotic 	Aminoglycosides
aph(4)-Ia	confers resistance to antibiotic 	Aminoglycosides
aph(4)-Ia	confers resistance to antibiotic 	Aminoglycosides
aph(4)-Ia	confers resistance to antibiotic 	Aminoglycosides
aph(6)-I	confers resistance to antibiotic 	Aminoglycosides
aph(6)-Ic	confers resistance to antibiotic 	Aminoglycosides
aph(6)-Ic	confers resistance to antibiotic 	Aminoglycosides
aph(6)-Id	confers resistance to antibiotic 	Aminoglycosides
APH(6)-Id	confers resistance to antibiotic 	Aminoglycosides
APH(6)-Id	confers resistance to antibiotic 	Aminoglycosides
aph(6)-Id	confers resistance to antibiotic 	Aminoglycosides
APH(9)-Ib	confers resistance to antibiotic 	Aminoglycosides
aph3-Ia	confers resistance to antibiotic 	Aminoglycosides
aph3	confers resistance to antibiotic 	Aminoglycosides
aph4-Ia	confers resistance to antibiotic 	Aminoglycosides
aphA-3	confers resistance to antibiotic 	Aminoglycosides
aphA2	confers resistance to antibiotic 	Aminoglycosides
aphAI	confers resistance to antibiotic 	Aminoglycosides
aphAI 	confers resistance to antibiotic 	Aminoglycosides
aphAI-IAB	confers resistance to antibiotic 	Aminoglycosides
armA	confers resistance to antibiotic 	Aminoglycosides
rpsL	confers resistance to antibiotic 	Aminoglycosides
rpsL	confers resistance to antibiotic 	Aminoglycosides
sph	confers resistance to antibiotic 	Aminoglycosides
strB	confers resistance to antibiotic 	Aminoglycosides
blaTEM-116	confers resistance to antibiotic 	Amoxicillin
blaTEM-1B	confers resistance to antibiotic 	Amoxicillin
blaTEM−1B	confers resistance to antibiotic 	Amoxicillin
blaOXA− 1 	confers resistance to antibiotic 	Amoxicillin
blaOXA− 1 	confers resistance to antibiotic 	Amoxicillin
blaTEM-1	confers resistance to antibiotic 	Amoxicillin
blaTEM-10	confers resistance to antibiotic 	Amoxicillin
blaTEM-102	confers resistance to antibiotic 	Amoxicillin
blaTEM-117	confers resistance to antibiotic 	Amoxicillin
blaTEM-118	confers resistance to antibiotic 	Amoxicillin
blaTEM-169	confers resistance to antibiotic 	Amoxicillin
blaTEM-187	confers resistance to antibiotic 	Amoxicillin
blaTEM-191	confers resistance to antibiotic 	Amoxicillin
blaTEM-192	confers resistance to antibiotic 	Amoxicillin
blaTEM-1B	confers resistance to antibiotic 	Amoxicillin
blaTEM-214	confers resistance to antibiotic 	Amoxicillin
blaTEM-217	confers resistance to antibiotic 	Amoxicillin
blaTEM-42	confers resistance to antibiotic 	Amoxicillin
blaTEM-59	confers resistance to antibiotic 	Amoxicillin
blaTEM-89	confers resistance to antibiotic 	Amoxicillin
PBPE	confers resistance to antibiotic 	Amoxicillin
ampC	confers resistance to antibiotic 	Amoxicillin
ampC	confers resistance to antibiotic 	Amoxicillin
ampC 	confers resistance to antibiotic 	Amoxicillin
ampH 	confers resistance to antibiotic 	Amoxicillin
blaCARB	confers resistance to antibiotic 	Amoxicillin
blacarB-2	confers resistance to antibiotic 	Amoxicillin
blaCMY	confers resistance to antibiotic 	Amoxicillin
blaCMY-2	confers resistance to antibiotic 	Amoxicillin
blaCTX-M-1	confers resistance to antibiotic 	Amoxicillin
blaHERA-3	confers resistance to antibiotic 	Amoxicillin
blaHERA-3 	confers resistance to antibiotic 	Amoxicillin
blaOXA-1	confers resistance to antibiotic 	Amoxicillin
blaSHV-2a 	confers resistance to antibiotic 	Amoxicillin
blaTEM	confers resistance to antibiotic 	Amoxicillin
blaTEM-1	confers resistance to antibiotic 	Amoxicillin
blaTEM-1	confers resistance to antibiotic 	Amoxicillin
blaTEM-1	confers resistance to antibiotic 	Amoxicillin
blaTEM-10	confers resistance to antibiotic 	Amoxicillin
blaTEM-102	confers resistance to antibiotic 	Amoxicillin
blaTEM-117	confers resistance to antibiotic 	Amoxicillin
blaTEM-118	confers resistance to antibiotic 	Amoxicillin
blaTEM-153	confers resistance to antibiotic 	Amoxicillin
blaTEM-169	confers resistance to antibiotic 	Amoxicillin
blaTEM-187	confers resistance to antibiotic 	Amoxicillin
blaTEM-191	confers resistance to antibiotic 	Amoxicillin
blaTEM-192	confers resistance to antibiotic 	Amoxicillin
blaTEM-193	confers resistance to antibiotic 	Amoxicillin
blaTEM-194	confers resistance to antibiotic 	Amoxicillin
blaTEM-1B	confers resistance to antibiotic 	Amoxicillin
blaTEM-214	confers resistance to antibiotic 	Amoxicillin
blaTEM-217	confers resistance to antibiotic 	Amoxicillin
blaTEM-220	confers resistance to antibiotic 	Amoxicillin
blaTEM-42	confers resistance to antibiotic 	Amoxicillin
blaTEM-59	confers resistance to antibiotic 	Amoxicillin
blaTEM-89	confers resistance to antibiotic 	Amoxicillin
blaTEM-99	confers resistance to antibiotic 	Amoxicillin
pse1	confers resistance to antibiotic 	Amoxicillin
pse1	confers resistance to antibiotic 	Amoxicillin
pipD	is associated with resistance to antibiotic	Amoxicillin
pefA	is associated with resistance to antibiotic	Amoxicillin
invA	is associated with resistance to antibiotic	Amoxicillin
pipD	is associated with resistance to antibiotic	Amoxicillin
pefA	is associated with resistance to antibiotic	Amoxicillin
invA	is associated with resistance to antibiotic	Amoxicillin
bcrC	confers resistance to antibiotic 	Bacitracin
blaCMY-2	confers resistance to antibiotic 	Beta-Lactame
blaCTX-M-123	confers resistance to antibiotic 	Beta-Lactame
blaCTX-M-14	confers resistance to antibiotic 	Beta-Lactame
blaCTX-M-14b	confers resistance to antibiotic 	Beta-Lactame
blaCTX-M-15	confers resistance to antibiotic 	Beta-Lactame
blaCTX-M-2	confers resistance to antibiotic 	Beta-Lactame
blaCTX-M-3	confers resistance to antibiotic 	Beta-Lactame
blaCTX-M-55	confers resistance to antibiotic 	Beta-Lactame
blaCTX-M-65	confers resistance to antibiotic 	Beta-Lactame
blaDHA-1	confers resistance to antibiotic 	Beta-Lactame
blaOXA-1	confers resistance to antibiotic 	Beta-Lactame
blaTEM-104	confers resistance to antibiotic 	Beta-Lactame
blaTEM-141	confers resistance to antibiotic 	Beta-Lactame
blaTEM-171	confers resistance to antibiotic 	Beta-Lactame
blaTEM-176	confers resistance to antibiotic 	Beta-Lactame
blaTEM-198	confers resistance to antibiotic 	Beta-Lactame
blaTEM-1B	confers resistance to antibiotic 	Beta-Lactame
blaTEM-206	confers resistance to antibiotic 	Beta-Lactame
blaTEM-207	confers resistance to antibiotic 	Beta-Lactame
blaTEM-209	confers resistance to antibiotic 	Beta-Lactame
blaTEM-214	confers resistance to antibiotic 	Beta-Lactame
blaTEM-217	confers resistance to antibiotic 	Beta-Lactame
blaTEM-230	confers resistance to antibiotic 	Beta-Lactame
blaTEM-234	confers resistance to antibiotic 	Beta-Lactame
blaTEM-30	confers resistance to antibiotic 	Beta-Lactame
blaTEM-79	confers resistance to antibiotic 	Beta-Lactame
bla	confers resistance to antibiotic 	Beta-Lactame
blaCARB-3	confers resistance to antibiotic 	Beta-Lactame
blaCMY	confers resistance to antibiotic 	Beta-Lactame
blaCMY-2	confers resistance to antibiotic 	Beta-Lactame
blaCMY-2	confers resistance to antibiotic 	Beta-Lactame
blaCMY-2	confers resistance to antibiotic 	Beta-Lactame
blaCTX-M-2	confers resistance to antibiotic 	Beta-Lactame
blaCTX-M-55	confers resistance to antibiotic 	Beta-Lactame
blaCTX-M-65	confers resistance to antibiotic 	Beta-Lactame
blaCTX-M-8	confers resistance to antibiotic 	Beta-Lactame
blaFOX-2	confers resistance to antibiotic 	Beta-Lactame
blaHER-3	confers resistance to antibiotic 	Beta-Lactame
blaOXA-17	confers resistance to antibiotic 	Beta-Lactame
blaOXA-27	confers resistance to antibiotic 	Beta-Lactame
blaOXA-4	confers resistance to antibiotic 	Beta-Lactame
blaOXA-61	confers resistance to antibiotic 	Beta-Lactame
blaOXY-K1	confers resistance to antibiotic 	Beta-Lactame
blaPSE-1	confers resistance to antibiotic 	Beta-Lactame
blaSHV-37	confers resistance to antibiotic 	Beta-Lactame
blaSME-1	confers resistance to antibiotic 	Beta-Lactame
blaTEM	confers resistance to antibiotic 	Beta-Lactame
blaTEM	confers resistance to antibiotic 	Beta-Lactame
blaTEM-1	confers resistance to antibiotic 	Beta-Lactame
blaTEM-1	confers resistance to antibiotic 	Beta-Lactame
blaTEM-1	confers resistance to antibiotic 	Beta-Lactame
blaTEM-135	confers resistance to antibiotic 	Beta-Lactame
blaTEM-187	confers resistance to antibiotic 	Beta-Lactame
blaTEM-1A	confers resistance to antibiotic 	Beta-Lactame
blaTEM-1B	confers resistance to antibiotic 	Beta-Lactame
CMY-7	confers resistance to antibiotic 	Beta-Lactame
CTX-M-28	confers resistance to antibiotic 	Beta-Lactame
CTX-M-33	confers resistance to antibiotic 	Beta-Lactame
CTX-M-37	confers resistance to antibiotic 	Beta-Lactame
CTX-M-4	confers resistance to antibiotic 	Beta-Lactame
CTX-M-5	confers resistance to antibiotic 	Beta-Lactame
CTX-M-53	confers resistance to antibiotic 	Beta-Lactame
CTX-M-6	confers resistance to antibiotic 	Beta-Lactame
CTX-M-63	confers resistance to antibiotic 	Beta-Lactame
CTX-M-7	confers resistance to antibiotic 	Beta-Lactame
CTX-M-83	confers resistance to antibiotic 	Beta-Lactame
CTX-M-84	confers resistance to antibiotic 	Beta-Lactame
CTX-M-85	confers resistance to antibiotic 	Beta-Lactame
CTX-M-86	confers resistance to antibiotic 	Beta-Lactame
DHA-1	confers resistance to antibiotic 	Beta-Lactame
mecA	confers resistance to antibiotic 	Beta-Lactame
OXA-129	confers resistance to antibiotic 	Beta-Lactame
OXA-53	confers resistance to antibiotic 	Beta-Lactame
penA	confers resistance to antibiotic 	Beta-Lactame
PER-2	confers resistance to antibiotic 	Beta-Lactame
rpsL	confers resistance to antibiotic 	Beta-Lactame
SHV-2A	confers resistance to antibiotic 	Beta-Lactame
SHV-5	confers resistance to antibiotic 	Beta-Lactame
strB	confers resistance to antibiotic 	Beta-Lactame
TEM-131	confers resistance to antibiotic 	Beta-Lactame
TEM-135	confers resistance to antibiotic 	Beta-Lactame
TEM-138	confers resistance to antibiotic 	Beta-Lactame
TEM-144	confers resistance to antibiotic 	Beta-Lactame
TEM-52	confers resistance to antibiotic 	Beta-Lactame
TEM-1	confers resistance to antibiotic 	Beta-Lactame
 PBP3	confers resistance to antibiotic 	Beta-Lactame
blaCMY	confers resistance to antibiotic 	Beta-Lactame
blaTEM	confers resistance to antibiotic 	Beta-Lactame
blaSHV	confers resistance to antibiotic 	Cephalosporins
blaTEM	confers resistance to antibiotic 	Cephalosporins
cat2	confers resistance to antibiotic 	Chloramphenicol
catA	confers resistance to antibiotic 	Chloramphenicol
catA1	confers resistance to antibiotic 	Chloramphenicol
catB3	confers resistance to antibiotic 	Chloramphenicol
catB4	confers resistance to antibiotic 	Chloramphenicol
catB8	confers resistance to antibiotic 	Chloramphenicol
cml	confers resistance to antibiotic 	Chloramphenicol
cmlA1	confers resistance to antibiotic 	Chloramphenicol
cmlA5	confers resistance to antibiotic 	Chloramphenicol
floR	confers resistance to antibiotic 	Chloramphenicol
floR	confers resistance to antibiotic 	Chloramphenicol
cat1	confers resistance to antibiotic 	Chloramphenicol
cat2	confers resistance to antibiotic 	Chloramphenicol
catB3	confers resistance to antibiotic 	Chloramphenicol
cmlA	confers resistance to antibiotic 	Chloramphenicol
cmlA1	confers resistance to antibiotic 	Chloramphenicol
floR	confers resistance to antibiotic 	Chloramphenicol
aer	is downregulated by antibiotic	Chloramphenicol
cheB	is downregulated by antibiotic	Chloramphenicol
cheR	is downregulated by antibiotic	Chloramphenicol
cheW	is downregulated by antibiotic	Chloramphenicol
chey	is downregulated by antibiotic	Chloramphenicol
chez	is downregulated by antibiotic	Chloramphenicol
fijA	is downregulated by antibiotic	Chloramphenicol
flgA	is downregulated by antibiotic	Chloramphenicol
flgB	is downregulated by antibiotic	Chloramphenicol
flgC	is downregulated by antibiotic	Chloramphenicol
flgD	is downregulated by antibiotic	Chloramphenicol
flgE	is downregulated by antibiotic	Chloramphenicol
flgF	is downregulated by antibiotic	Chloramphenicol
flgG	is downregulated by antibiotic	Chloramphenicol
flgH	is downregulated by antibiotic	Chloramphenicol
flgI	is downregulated by antibiotic	Chloramphenicol
flgJ	is downregulated by antibiotic	Chloramphenicol
flgK	is downregulated by antibiotic	Chloramphenicol
flgL	is downregulated by antibiotic	Chloramphenicol
flgM	is downregulated by antibiotic	Chloramphenicol
flgN	is downregulated by antibiotic	Chloramphenicol
flhA	is downregulated by antibiotic	Chloramphenicol
flhB	is downregulated by antibiotic	Chloramphenicol
flhC	is upregulated by antibiotic	Chloramphenicol
flhD	is upregulated by antibiotic	Chloramphenicol
flhE	is downregulated by antibiotic	Chloramphenicol
fliA	is downregulated by antibiotic	Chloramphenicol
fliB	is downregulated by antibiotic	Chloramphenicol
flic	is downregulated by antibiotic	Chloramphenicol
fliD	is downregulated by antibiotic	Chloramphenicol
fliE	is downregulated by antibiotic	Chloramphenicol
fliF	is downregulated by antibiotic	Chloramphenicol
fliG	is downregulated by antibiotic	Chloramphenicol
flih	is downregulated by antibiotic	Chloramphenicol
fliI	is downregulated by antibiotic	Chloramphenicol
fliJ	is downregulated by antibiotic	Chloramphenicol
fliK	is downregulated by antibiotic	Chloramphenicol
fliL	is downregulated by antibiotic	Chloramphenicol
fliM	is downregulated by antibiotic	Chloramphenicol
fliN	is downregulated by antibiotic	Chloramphenicol
fliO	is downregulated by antibiotic	Chloramphenicol
fliP	is downregulated by antibiotic	Chloramphenicol
fliQ	is downregulated by antibiotic	Chloramphenicol
fliR	is upregulated by antibiotic	Chloramphenicol
fliS	is downregulated by antibiotic	Chloramphenicol
fliT	is downregulated by antibiotic	Chloramphenicol
fliY	is downregulated by antibiotic	Chloramphenicol
fliZ	is downregulated by antibiotic	Chloramphenicol
hin	is upregulated by antibiotic	Chloramphenicol
motA	is upregulated by antibiotic	Chloramphenicol
motB	is upregulated by antibiotic	Chloramphenicol
avrA	is upregulated by antibiotic	Chloramphenicol
hilA	is upregulated by antibiotic	Chloramphenicol
hilC	is downregulated by antibiotic	Chloramphenicol
hilD	is upregulated by antibiotic	Chloramphenicol
iagB	is upregulated by antibiotic	Chloramphenicol
invA	is upregulated by antibiotic	Chloramphenicol
invC	is upregulated by antibiotic	Chloramphenicol
invE	is upregulated by antibiotic	Chloramphenicol
invF	is upregulated by antibiotic	Chloramphenicol
invG	is upregulated by antibiotic	Chloramphenicol
invH	is upregulated by antibiotic	Chloramphenicol
invI	is upregulated by antibiotic	Chloramphenicol
invJ	is upregulated by antibiotic	Chloramphenicol
orgAa	is upregulated by antibiotic	Chloramphenicol
orgAb	is upregulated by antibiotic	Chloramphenicol
prgH	is upregulated by antibiotic	Chloramphenicol
prgI	is upregulated by antibiotic	Chloramphenicol
prgJ	is upregulated by antibiotic	Chloramphenicol
prgK	is upregulated by antibiotic	Chloramphenicol
sicP	is upregulated by antibiotic	Chloramphenicol
sipA	is upregulated by antibiotic	Chloramphenicol
sipC	is upregulated by antibiotic	Chloramphenicol
sipD	is upregulated by antibiotic	Chloramphenicol
sipF	is upregulated by antibiotic	Chloramphenicol
sitA	is upregulated by antibiotic	Chloramphenicol
sitB	is upregulated by antibiotic	Chloramphenicol
sitC	is upregulated by antibiotic	Chloramphenicol
sitD	is upregulated by antibiotic	Chloramphenicol
spaO	is upregulated by antibiotic	Chloramphenicol
spaP	is upregulated by antibiotic	Chloramphenicol
spaQ	is upregulated by antibiotic	Chloramphenicol
spaR	is upregulated by antibiotic	Chloramphenicol
spaS	is upregulated by antibiotic	Chloramphenicol
spaT	is upregulated by antibiotic	Chloramphenicol
sprB	is upregulated by antibiotic	Chloramphenicol
pipB	is upregulated by antibiotic	Chloramphenicol
sifA	is upregulated by antibiotic	Chloramphenicol
sopD	is upregulated by antibiotic	Chloramphenicol
sopD2	is upregulated by antibiotic	Chloramphenicol
sopE2	is upregulated by antibiotic	Chloramphenicol
ssaD	is upregulated by antibiotic	Chloramphenicol
ssaE	is upregulated by antibiotic	Chloramphenicol
ssaG	is upregulated by antibiotic	Chloramphenicol
ssaH	is upregulated by antibiotic	Chloramphenicol
ssaI	is upregulated by antibiotic	Chloramphenicol
ssaJ	is upregulated by antibiotic	Chloramphenicol
ssaL	is upregulated by antibiotic	Chloramphenicol
ssaM	is upregulated by antibiotic	Chloramphenicol
ssaN	is upregulated by antibiotic	Chloramphenicol
ssaQ	is upregulated by antibiotic	Chloramphenicol
ssaS	is upregulated by antibiotic	Chloramphenicol
ssaT	is upregulated by antibiotic	Chloramphenicol
ssaU	is upregulated by antibiotic	Chloramphenicol
ssaV	is upregulated by antibiotic	Chloramphenicol
sscA	is upregulated by antibiotic	Chloramphenicol
sscB	is upregulated by antibiotic	Chloramphenicol
sseA1	is upregulated by antibiotic	Chloramphenicol
sseB1	is upregulated by antibiotic	Chloramphenicol
sseC	is upregulated by antibiotic	Chloramphenicol
sseD	is upregulated by antibiotic	Chloramphenicol
sseE	is upregulated by antibiotic	Chloramphenicol
sseF	is upregulated by antibiotic	Chloramphenicol
sseG	is upregulated by antibiotic	Chloramphenicol
sseI	is upregulated by antibiotic	Chloramphenicol
sseJ	is upregulated by antibiotic	Chloramphenicol
sspH2	is upregulated by antibiotic	Chloramphenicol
ssrB	is upregulated by antibiotic	Chloramphenicol
ttrA	is upregulated by antibiotic	Chloramphenicol
ttrB	is upregulated by antibiotic	Chloramphenicol
ttrC	is upregulated by antibiotic	Chloramphenicol
ttrR	is downregulated by antibiotic	Chloramphenicol
ttrS	is downregulated by antibiotic	Chloramphenicol
cigR	is upregulated by antibiotic	Chloramphenicol
marT	is upregulated by antibiotic	Chloramphenicol
mgtB	is upregulated by antibiotic	Chloramphenicol
mgtC	is upregulated by antibiotic	Chloramphenicol
misL	is upregulated by antibiotic	Chloramphenicol
rmbA	is upregulated by antibiotic	Chloramphenicol
slsA	is upregulated by antibiotic	Chloramphenicol
bcfA	is upregulated by antibiotic	Chloramphenicol
bcfB	is upregulated by antibiotic	Chloramphenicol
bcfC	is upregulated by antibiotic	Chloramphenicol
bcfD	is upregulated by antibiotic	Chloramphenicol
bcfE	is upregulated by antibiotic	Chloramphenicol
bcfF	is upregulated by antibiotic	Chloramphenicol
bcfG	is upregulated by antibiotic	Chloramphenicol
csgA	is upregulated by antibiotic	Chloramphenicol
csgB	is upregulated by antibiotic	Chloramphenicol
csgD	is upregulated by antibiotic	Chloramphenicol
csgE	is upregulated by antibiotic	Chloramphenicol
csgF	is upregulated by antibiotic	Chloramphenicol
csgG	is upregulated by antibiotic	Chloramphenicol
fimA	is upregulated by antibiotic	Chloramphenicol
fimB	is upregulated by antibiotic	Chloramphenicol
fimC	is upregulated by antibiotic	Chloramphenicol
fimD	is upregulated by antibiotic	Chloramphenicol
fimF	is upregulated by antibiotic	Chloramphenicol
fimH	is upregulated by antibiotic	Chloramphenicol
fimI	is upregulated by antibiotic	Chloramphenicol
fimW	is upregulated by antibiotic	Chloramphenicol
fimY	is upregulated by antibiotic	Chloramphenicol
fimZ	is upregulated by antibiotic	Chloramphenicol
lpfA	is upregulated by antibiotic	Chloramphenicol
lpfB	is upregulated by antibiotic	Chloramphenicol
lpfC	is upregulated by antibiotic	Chloramphenicol
lpfE	is upregulated by antibiotic	Chloramphenicol
pefA	is upregulated by antibiotic	Chloramphenicol
pefB	is upregulated by antibiotic	Chloramphenicol
pefC	is upregulated by antibiotic	Chloramphenicol
pefD	is upregulated by antibiotic	Chloramphenicol
pefl	is upregulated by antibiotic	Chloramphenicol
ratB	is upregulated by antibiotic	Chloramphenicol
safA	is upregulated by antibiotic	Chloramphenicol
safB	is upregulated by antibiotic	Chloramphenicol
safC	is upregulated by antibiotic	Chloramphenicol
safD	is upregulated by antibiotic	Chloramphenicol
shdA	is upregulated by antibiotic	Chloramphenicol
sinH	is upregulated by antibiotic	Chloramphenicol
stbA	is upregulated by antibiotic	Chloramphenicol
